state,zcta5,ZIPName,County,County2
34,07676,"Township Of Washington, NJ",Bergen NJ,
34,07677,"Woodcliff Lake, NJ",Bergen NJ,
34,07701,"Red Bank, NJ",Monmouth NJ,
34,07702,"Shrewsbury, NJ",Monmouth NJ,
34,07703,"Oceanport, NJ",Monmouth NJ,
34,07704,"Fair Haven, NJ",Monmouth NJ,
34,07711,"Allenhurst, NJ",Monmouth NJ,
34,07712,"Asbury Park, NJ",Monmouth NJ,
34,07716,"Atlantic Highlands, NJ",Monmouth NJ,
34,07717,"Avon-by-the-Sea, NJ",Monmouth NJ,
34,07718,"Belford, NJ",Monmouth NJ,
34,07719,"Belmar, NJ",Monmouth NJ,
34,07720,"Bradley Beach, NJ",Monmouth NJ,
34,07721,"Cliffwood, NJ",Monmouth NJ,Middlesex NJ
34,07722,"Colts Neck, NJ",Monmouth NJ,
34,07723,"Deal, NJ",Monmouth NJ,
34,07724,"Eatontown, NJ",Monmouth NJ,
34,07726,"Englishtown, NJ",Monmouth NJ,
34,07727,"Farmingdale, NJ",Monmouth NJ,
34,07728,"Freehold, NJ",Monmouth NJ,
34,07730,"Hazlet, NJ",Monmouth NJ,
34,07731,"Howell, NJ",Monmouth NJ,
34,07732,"Highlands, NJ",Monmouth NJ,
34,07733,"Holmdel, NJ",Monmouth NJ,
34,07734,"Keansburg, NJ",Monmouth NJ,
34,07735,"Keyport, NJ",Monmouth NJ,Middlesex NJ
34,07737,"Leonardo, NJ",Monmouth NJ,
34,07738,"Lincroft, NJ",Monmouth NJ,
34,07739,"Little Silver, NJ",Monmouth NJ,
34,07740,"Long Branch, NJ",Monmouth NJ,
34,07746,"Marlboro, NJ",Monmouth NJ,
34,07747,"Matawan, NJ",Monmouth NJ,Middlesex NJ
34,07748,"Middletown, NJ",Monmouth NJ,
34,07750,"Monmouth Beach, NJ",Monmouth NJ,
34,07751,"Morganville, NJ",Monmouth NJ,
34,07753,"Neptune, NJ",Monmouth NJ,
34,07755,"Oakhurst, NJ",Monmouth NJ,
34,07756,"Ocean Grove, NJ",Monmouth NJ,
34,07757,"Oceanport, NJ",Monmouth NJ,
34,07758,"Port Monmouth, NJ",Monmouth NJ,
34,07760,"Rumson, NJ",Monmouth NJ,
34,07762,"Spring Lake Heights, NJ",Monmouth NJ,
34,07764,"West Long Branch, NJ",Monmouth NJ,
34,07801,"Dover, NJ",Morris NJ,
34,07803,"Mine Hill, NJ",Morris NJ,
34,07821,"Andover, NJ",Sussex NJ,Warren NJ
34,07822,"Augusta, NJ",Sussex NJ,
34,07823,"Belvidere, NJ",Warren NJ,
34,07825,"Blairstown, NJ",Warren NJ,
34,07826,"Branchville, NJ",Sussex NJ,
34,07827,"Montague, NJ",Sussex NJ,
34,07828,"Budd Lake, NJ",Morris NJ,
34,07830,"Califon, NJ",Hunterdon NJ,Morris NJ
34,07832,"Columbia, NJ",Warren NJ,
34,07833,"Delaware, NJ",Warren NJ,
34,07834,"Denville, NJ",Morris NJ,
34,07836,"Flanders, NJ",Morris NJ,
34,07838,"Great Meadows, NJ",Warren NJ,
34,07840,"Hackettstown, NJ",Warren NJ,Morris NJ
34,07842,"Hibernia, NJ (PO Boxes)",Morris NJ,
34,07843,"Hopatcong, NJ",Sussex NJ,
34,07846,"Johnsonburg, NJ",Warren NJ,
34,07847,"Kenvil, NJ",Morris NJ,
34,07848,"Lafayette, NJ",Sussex NJ,
34,07849,"Lake Hopatcong, NJ",Morris NJ,Sussex NJ
34,07850,"Landing, NJ",Morris NJ,
34,07851,"Layton, NJ",Sussex NJ,
34,07852,"Ledgewood, NJ",Morris NJ,
34,07853,"Long Valley, NJ",Morris NJ,
34,07856,"Mount Arlington, NJ",Morris NJ,
34,07857,"Netcong, NJ",Morris NJ,
34,07860,"Newton, NJ",Sussex NJ,Warren NJ
34,07863,"Oxford, NJ",Warren NJ,
34,07865,"Port Murray, NJ",Warren NJ,Morris NJ
34,07866,"White Meadow Lake, NJ",Morris NJ,
34,07869,"Randolph, NJ",Morris NJ,
34,07870,"Schooleys Mountain, NJ (PO Boxes)",Morris NJ,
34,07871,"Sparta, NJ",Sussex NJ,
34,07874,"Stanhope, NJ",Sussex NJ,Warren NJ
34,07876,"Succasunna, NJ",Morris NJ,
34,07878,"Mount Tabor, NJ (PO Boxes)",Morris NJ,
34,07880,"Vienna, NJ",Warren NJ,
34,07881,"Wallpack Center, NJ",Sussex NJ,
34,07882,"Washington, NJ",Warren NJ,Hunterdon NJ
34,07885,"Wharton, NJ",Morris NJ,
34,07901,"Summit, NJ",Union NJ,
34,07920,"Basking Ridge, NJ",Somerset NJ,Morris NJ
34,07921,"Bedminster, NJ",Somerset NJ,
34,07922,"Berkeley Heights, NJ",Union NJ,
34,07924,"Bernardsville, NJ",Somerset NJ,
34,07926,"Brookside, NJ (PO Boxes)",Morris NJ,
34,07927,"Cedar Knolls, NJ",Morris NJ,
34,07928,"Chatham, NJ",Morris NJ,
34,07930,"Chester, NJ",Morris NJ,
34,07931,"Far Hills, NJ",Somerset NJ,Morris NJ
34,07932,"Florham Park, NJ",Morris NJ,
34,07933,"Gillette, NJ",Morris NJ,
34,07934,"Peapack and Gladstone, NJ",Somerset NJ,
34,07935,"Green Village, NJ",Morris NJ,
34,07936,"East Hanover, NJ",Morris NJ,
34,07939,"Lyons, NJ",Somerset NJ,
34,07940,"Madison, NJ",Morris NJ,
34,07945,"Mendham, NJ",Morris NJ,
34,07946,"Millington, NJ",Morris NJ,
34,07950,"Morris Plains, NJ",Morris NJ,
34,07960,"Morristown, NJ",Morris NJ,
34,07970,"Mount Freedom, NJ (PO Boxes)",Morris NJ,
34,07974,"New Providence, NJ",Union NJ,
34,07976,"New Vernon, NJ",Morris NJ,
34,07977,"Peapack and Gladstone, NJ",Somerset NJ,
34,07979,"Pottersville, NJ (PO Boxes)",Hunterdon NJ,Somerset NJ
34,07980,"Stirling, NJ",Morris NJ,
34,07981,"Whippany, NJ",Morris NJ,
34,08001,"Alloway, NJ",Salem NJ,
